using device: mps
Total Parameters: 30,142,848
Trainable Parameters: 30,142,848
Model Size: 114.99 MB

Size by component:
transformer: 114.99 MB
loaded 338025 tokens
1 epoch = 82 batches
Training for 20000 steps
step 980, loss: 4.4706, avg_loss: 4.8667, best_loss: 4.4444, lr: 1.07e-04, time/batch: 1.005s
step 990, loss: 4.5954, avg_loss: 4.8657, best_loss: 4.4444, lr: 1.09e-04, time/batch: 1.059s
step 1000, loss: 4.3895, avg_loss: 4.8453, best_loss: 4.3895, lr: 1.10e-04, time/batch: 1.053s
step 1010, loss: 4.8514, avg_loss: 4.8255, best_loss: 4.3320, lr: 1.12e-04, time/batch: 0.992s
step 1020, loss: 4.7002, avg_loss: 4.8226, best_loss: 4.3320, lr: 1.13e-04, time/batch: 1.011s
step 1030, loss: 4.6969, avg_loss: 4.8022, best_loss: 4.3320, lr: 1.14e-04, time/batch: 1.027s
step 1040, loss: 5.3503, avg_loss: 4.7943, best_loss: 4.3320, lr: 1.16e-04, time/batch: 0.985s
step 1050, loss: 4.6899, avg_loss: 4.7901, best_loss: 4.3320, lr: 1.17e-04, time/batch: 1.036s
step 1060, loss: 4.5981, avg_loss: 4.7475, best_loss: 4.3320, lr: 1.19e-04, time/batch: 0.977s
step 1070, loss: 4.6622, avg_loss: 4.7340, best_loss: 4.3040, lr: 1.20e-04, time/batch: 0.984s
step 1080, loss: 4.5843, avg_loss: 4.7222, best_loss: 4.3040, lr: 1.21e-04, time/batch: 1.052s
step 1090, loss: 4.8819, avg_loss: 4.6923, best_loss: 4.1964, lr: 1.23e-04, time/batch: 0.986s
step 1100, loss: 4.7975, avg_loss: 4.6934, best_loss: 4.1964, lr: 1.24e-04, time/batch: 0.991s
step 1110, loss: 4.8311, avg_loss: 4.6804, best_loss: 4.1964, lr: 1.26e-04, time/batch: 1.059s
step 1120, loss: 4.7229, avg_loss: 4.6633, best_loss: 4.1964, lr: 1.27e-04, time/batch: 0.977s
step 1130, loss: 4.3375, avg_loss: 4.6667, best_loss: 4.1964, lr: 1.28e-04, time/batch: 1.006s
